"3º ";Capitania dos Portos do Rio Grande do Norte;CPNATL;RN;Veleiro;70
"4º ";Agencia da Capitania dos Portos no Oiapoque;AGOQUE;AP;Canoa;387
"4º ";Agencia da Capitania dos Portos no Oiapoque;AGOQUE;AP;Carga Geral;12
"4º ";Agencia da Capitania dos Portos no Oiapoque;AGOQUE;AP;Flutuante;1
"4º ";Agencia da Capitania dos Portos no Oiapoque;AGOQUE;AP;Lancha;119
"4º ";Agencia da Capitania dos Portos no Oiapoque;AGOQUE;AP;Passageiro;7
"4º ";Agencia da Capitania dos Portos no Oiapoque;AGOQUE;AP;Passageiro / Carga Geral;4
"4º ";Agencia da Capitania dos Portos no Oiapoque;AGOQUE;AP;Pesqueiro;258
"4º ";Agencia da Capitania dos Portos no Oiapoque;AGOQUE;AP;Roll-on / Roll-off Passageiro (Ferry Boat);2
"4º ";Agência Fluvial de Imperatriz;AGIMPE;MA;Balsa;67
"4º ";Agência Fluvial de Imperatriz;AGIMPE;MA;Barcaça;558
"4º ";Agência Fluvial de Imperatriz;AGIMPE;MA;Bote;363
"4º ";Agência Fluvial de Imperatriz;AGIMPE;MA;Caiaque;15
"4º ";Agência Fluvial de Imperatriz;AGIMPE;MA;Caique;2
"4º ";Agência Fluvial de Imperatriz;AGIMPE;MA;Canoa;2639
"4º ";Agência Fluvial de Imperatriz;AGIMPE;MA;Carga Geral;3
"4º ";Agência Fluvial de Imperatriz;AGIMPE;MA;Chata;490
"4º ";Agência Fluvial de Imperatriz;AGIMPE;MA;Draga;107
"4º ";Agência Fluvial de Imperatriz;AGIMPE;MA;Empurrador;13
"4º ";Agência Fluvial de Imperatriz;AGIMPE;MA;Flutuante;24
"4º ";Agência Fluvial de Imperatriz;AGIMPE;MA;Iate;3
"4º ";Agência Fluvial de Imperatriz;AGIMPE;MA;Jangada;1
"4º ";Agência Fluvial de Imperatriz;AGIMPE;MA;Jet Boat;50
"4º ";Agência Fluvial de Imperatriz;AGIMPE;MA;Lançador de Linhas;1
"4º ";Agência Fluvial de Imperatriz;AGIMPE;MA;Lancha;2148
"4º ";Agência Fluvial de Imperatriz;AGIMPE;MA;Moto-Aquática/similar;876
"4º ";Agência Fluvial de Imperatriz;AGIMPE;MA;Multicasco (Catamarã, Trimarã, Tetramarã, etc);15
"4º ";Agência Fluvial de Imperatriz;AGIMPE;MA;Outros;27
"4º ";Agência Fluvial de Imperatriz;AGIMPE;MA;Passageiro;252
"4º ";Agência Fluvial de Imperatriz;AGIMPE;MA;Passageiro / Carga Geral;235
"4º ";Agência Fluvial de Imperatriz;AGIMPE;MA;Pesqueiro;4
"4º ";Agência Fluvial de Imperatriz;AGIMPE;MA;Pesquisa;1
"4º ";Agência Fluvial de Imperatriz;AGIMPE;MA;Rebocador;68
"4º ";Agência Fluvial de Imperatriz;AGIMPE;MA;Veleiro;1
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Alvarenga;3
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Apoio à Manobra;12
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Apoio a Mergulho;2
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Balsa;746
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Barcaça;440
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Bote;33
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Cábrea;5
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Caique;1
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Canoa;68
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Carga Geral;2568
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Chata;46
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Curral;1
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Draga;48
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Empurrador;325
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Escuna;7
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Flutuante;118
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Graneleiro;24
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Hidroavião;1
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Hovercraft;2
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Iate;19
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Jangada;1
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Jet Boat;29
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Lancha;4264
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Manuseio de Linhas;2
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Moto-Aquática/similar;2256
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Multicasco (Catamarã, Trimarã, Tetramarã, etc);19
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Outros;248
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Passageiro;1510
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Passageiro / Carga Geral;4274
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Pesqueiro;7076
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Pesquisa;3
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Petroleiro;8
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Porta-Contentor;3
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Rebocador;477
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;"Roll-on / Roll-off Carga ";4
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Roll-on / Roll-off Passageiro (Ferry Boat);53
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Saveiro;4
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Supridor (Supply);1
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Tanque (transporte de granéis líquidos);4
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Transporte de Gases Liquefeitos;8
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Transporte Escolar;7
"4º ";Capitania dos Portos da Amazônia Oriental;CPBLEM;PA;Veleiro;61
"4º ";Capitania dos Portos do Amapá;CPSTNA;AP;Alvarenga;1
"4º ";Capitania dos Portos do Amapá;CPSTNA;AP;Apoio à Manobra;4
"4º ";Capitania dos Portos do Amapá;CPSTNA;AP;Balsa;153
"4º ";Capitania dos Portos do Amapá;CPSTNA;AP;Barcaça;1115
"4º ";Capitania dos Portos do Amapá;CPSTNA;AP;Batelão;1
"4º ";Capitania dos Portos do Amapá;CPSTNA;AP;Bote;12
"4º ";Capitania dos Portos do Amapá;CPSTNA;AP;Cábrea;1
"4º ";Capitania dos Portos do Amapá;CPSTNA;AP;Caique;1
"4º ";Capitania dos Portos do Amapá;CPSTNA;AP;Canoa;1045
"4º ";Capitania dos Portos do Amapá;CPSTNA;AP;Carga Geral;4395
"4º ";Capitania dos Portos do Amapá;CPSTNA;AP;Chata;1
"4º ";Capitania dos Portos do Amapá;CPSTNA;AP;Curral;4
"4º ";Capitania dos Portos do Amapá;CPSTNA;AP;Draga;7
"4º ";Capitania dos Portos do Amapá;CPSTNA;AP;Empurrador;49
"4º ";Capitania dos Portos do Amapá;CPSTNA;AP;Flutuante;62
"4º ";Capitania dos Portos do Amapá;CPSTNA;AP;Graneleiro;1
"4º ";Capitania dos Portos do Amapá;CPSTNA;AP;Iate;32
"4º ";Capitania dos Portos do Amapá;CPSTNA;AP;Jangada;2
"4º ";Capitania dos Portos do Amapá;CPSTNA;AP;Jet Boat;5
"4º ";Capitania dos Portos do Amapá;CPSTNA;AP;Lancha;3490
"4º ";Capitania dos Portos do Amapá;CPSTNA;AP;Moto-Aquática/similar;598
"4º ";Capitania dos Portos do Amapá;CPSTNA;AP;Multicasco (Catamarã, Trimarã, Tetramarã, etc);5
"4º ";Capitania dos Portos do Amapá;CPSTNA;AP;Outros;45
"4º ";Capitania dos Portos do Amapá;CPSTNA;AP;Passageiro;811
"4º ";Capitania dos Portos do Amapá;CPSTNA;AP;Passageiro / Carga Geral;2644
"4º ";Capitania dos Portos do Amapá;CPSTNA;AP;Passageiro de Alta Velocidade (HSC Passageiro);3
"4º ";Capitania dos Portos do Amapá;CPSTNA;AP;Pesqueiro;1399
"4º ";Capitania dos Portos do Amapá;CPSTNA;AP;Petroleiro;8
"4º ";Capitania dos Portos do Amapá;CPSTNA;AP;Rebocador;31
"4º ";Capitania dos Portos do Amapá;CPSTNA;AP;"Roll-on / Roll-off Carga ";1
"4º ";Capitania dos Portos do Amapá;CPSTNA;AP;Roll-on / Roll-off Passageiro (Ferry Boat);28
"4º ";Capitania dos Portos do Amapá;CPSTNA;AP;Tanque (transporte de granéis líquidos);4
"4º ";Capitania dos Portos do Amapá;CPSTNA;AP;Transporte Escolar;2
"4º ";Capitania dos Portos do Amapá;CPSTNA;AP;Veleiro;4
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Alvarenga;1
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Apoio à Manobra;1
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Apoio a Mergulho;2
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Balsa;64
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Barcaça;193
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Batelão;2
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Bote;357
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Cábrea;1
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Caiaque;1
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Canoa;105
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Carga Geral;117
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Chata;26
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Draga;15
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Empurrador;15
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Escuna;3
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Flutuante;44
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Graneleiro;15
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Hovercraft;3
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Iate;7
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Jangada;5
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Jet Boat;25
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Lancha;2102
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Moto-Aquática/similar;1576
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Multicasco (Catamarã, Trimarã, Tetramarã, etc);124
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Multipurpose;2
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Outros;522
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Passageiro;284
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Passageiro / Carga Geral;87
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Pesqueiro;2838
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Pesquisa;6
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Petroleiro;32
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Petroleiro e Químico;7
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Plataforma Auto-Elevável;2
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Plataforma Fixa;1
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Químico;2
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Rebocador;28
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Roll-on / Roll-off Passageiro (Ferry Boat);13
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Saveiro;1
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Sonda;1
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Supridor (Supply);3
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Tanque (transporte de granéis líquidos);7
"4º ";Capitania dos Portos do Maranhão;CPLUIZ;MA;Veleiro;74
"4º ";Capitania dos Portos do Piauí;CPPARN;PI;Balsa;54
"4º ";Capitania dos Portos do Piauí;CPPARN;PI;Barcaça;4
"4º ";Capitania dos Portos do Piauí;CPPARN;PI;Bote;157
"4º ";Capitania dos Portos do Piauí;CPPARN;PI;Caiaque;3
"4º ";Capitania dos Portos do Piauí;CPPARN;PI;Canoa;351
"4º ";Capitania dos Portos do Piauí;CPPARN;PI;Carga Geral;11
"4º ";Capitania dos Portos do Piauí;CPPARN;PI;Chata;16
"4º ";Capitania dos Portos do Piauí;CPPARN;PI;Draga;28
"4º ";Capitania dos Portos do Piauí;CPPARN;PI;Empurrador;6
"4º ";Capitania dos Portos do Piauí;CPPARN;PI;Flutuante;18
"4º ";Capitania dos Portos do Piauí;CPPARN;PI;Iate;2
"4º ";Capitania dos Portos do Piauí;CPPARN;PI;Jangada;34
"4º ";Capitania dos Portos do Piauí;CPPARN;PI;Jet Boat;42
"4º ";Capitania dos Portos do Piauí;CPPARN;PI;Lancha;1024
"4º ";Capitania dos Portos do Piauí;CPPARN;PI;Moto-Aquática/similar;1108
"4º ";Capitania dos Portos do Piauí;CPPARN;PI;Multicasco (Catamarã, Trimarã, Tetramarã, etc);24
"4º ";Capitania dos Portos do Piauí;CPPARN;PI;Outros;1081
"4º ";Capitania dos Portos do Piauí;CPPARN;PI;Passageiro;4
"4º ";Capitania dos Portos do Piauí;CPPARN;PI;Passageiro / Carga Geral;12
"4º ";Capitania dos Portos do Piauí;CPPARN;PI;Pesqueiro;369
"4º ";Capitania dos Portos do Piauí;CPPARN;PI;Rebocador;7
"4º ";Capitania dos Portos do Piauí;CPPARN;PI;Veleiro;3
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Alvarenga;1
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Apoio a Mergulho;4
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Apoio a ROV;1
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Balsa;693
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Barcaça;119
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Batelão;7
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Bote;91
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Cábrea;2
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Caiaque;1
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Canoa;161
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Carga Geral;772
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Chata;1
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Curral;3
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Dique Flutuante;4
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Draga;138
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Empurrador;202
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Escuna;1
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Flutuante;155
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Graneleiro;3
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Hovercraft;1
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Iate;81
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Jet Boat;7
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Lançador de Linhas;1
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Lancha;3183
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Laser;1
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Moto-Aquática/similar;638
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Multicasco (Catamarã, Trimarã, Tetramarã, etc);34
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Multipurpose;2
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Outros;104
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Passageiro;1804
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Passageiro / Carga Geral;2236
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Passageiro de Alta Velocidade (HSC Passageiro);5
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Pesqueiro;3216
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Petroleiro;31
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Rebocador;66
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;"Roll-on / Roll-off Carga ";3
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Roll-on / Roll-off Passageiro (Ferry Boat);29
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Tanque (transporte de granéis líquidos);38
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Transporte de Gases Liquefeitos;1
"4º ";Capitania Fluvial de Santarém;CFAREM;PA;Veleiro;5
"5º ";Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Anfíbia;2
"5º ";Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Balsa;4
"5º ";Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Barcaça;1
"5º ";Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Bote;2324
"5º ";Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Caiaque;20
"5º ";Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Caique;6
"5º ";Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Canoa;164
"5º ";Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Chata;5
"5º ";Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Draga;42
"5º ";Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Empurrador;1
"5º ";Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Flutuante;1
"5º ";Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Hovercraft;1
"5º ";Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Jangada;4
"5º ";Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Jet Boat;6
"5º ";Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Lancha;1059
"5º ";Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Moto-Aquática/similar;1144
"5º ";Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Multicasco (Catamarã, Trimarã, Tetramarã, etc);4
"5º ";Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Outros;437
"5º ";Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Passageiro;3
"5º ";Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Passageiro / Carga Geral;1
"5º ";Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Pesqueiro;50
"5º ";Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Traineira;3
"5º ";Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Veleiro;22
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Alvarenga;2
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Anfíbia;1
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Balsa;227
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Barcaça;12
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Batelão;6
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Bote;8520
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Caiaque;120
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Caique;6
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Canoa;724
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Chata;48
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Cisterna (FSU);1
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Draga;31
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Embarcação Autônoma;1
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Empurrador;1
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Escuna;50
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Flutuante;75
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Hovercraft;3
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Iate;15
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Jangada;1
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Jet Boat;41
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Lançador de Linhas;6
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Lancha;7542
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Laser;1
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Manuseio de Âncora (AHTS);3
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Moto-Aquática/similar;5505
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Multicasco (Catamarã, Trimarã, Tetramarã, etc);48
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Oceonagráfico;2
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Outros;2073
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Passageiro;20
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Passageiro / Carga Geral;1
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Pesqueiro;1746
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Pesquisa;2
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Rebocador;21
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Saveiro;2
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Tanque (transporte de granéis líquidos);1
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Traineira;13
"5º ";Capitania dos Portos de Santa Catarina;CPFPOL;SC;Veleiro;597
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Apoio a Mergulho;3
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Balsa;30
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Barcaça;10
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Batelão;2
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Bote;7376
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Cábrea;2
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Caiaque;12
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Caique;282
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Canoa;322
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Carga Geral;5
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Chata;5
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Draga;86
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Empurrador;8
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Escuna;12
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Floating, Production, Storage and Off-Loading Unit (FPSO);2
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Flutuante;7
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Hovercraft;1
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Iate;6
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Jet Boat;4
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Lancha;1200
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Laser;2
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Moto-Aquática/similar;770
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Multicasco (Catamarã, Trimarã, Tetramarã, etc);6
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Multipurpose;1
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Outros;2998
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Passageiro;4
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Passageiro / Carga Geral;1
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Pesqueiro;493
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Pesquisa;2
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Petroleiro;5
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Petroleiro e Químico;1
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Plataforma Semi-Submersível;2
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Químico e Gaseiro;1
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Rebocador;21
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Roll-on / Roll-off Passageiro (Ferry Boat);4
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Saveiro;1
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Tanque (transporte de granéis líquidos);3
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Traineira;3
"5º ";Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Veleiro;446
"5º ";Capitania Fluvial de Porto Alegre;CFALEG;RS;Anfíbia;1
"5º ";Capitania Fluvial de Porto Alegre;CFALEG;RS;Apoio a ROV;1
"5º ";Capitania Fluvial de Porto Alegre;CFALEG;RS;Balsa;130
"5º ";Capitania Fluvial de Porto Alegre;CFALEG;RS;Barcaça;69
"5º ";Capitania Fluvial de Porto Alegre;CFALEG;RS;Batelão;9
"5º ";Capitania Fluvial de Porto Alegre;CFALEG;RS;Bote;13965
"5º ";Capitania Fluvial de Porto Alegre;CFALEG;RS;Cábrea;3
"5º ";Capitania Fluvial de Porto Alegre;CFALEG;RS;Caiaque;96
"5º ";Capitania Fluvial de Porto Alegre;CFALEG;RS;Caique;31
"5º ";Capitania Fluvial de Porto Alegre;CFALEG;RS;Canoa;186
"5º ";Capitania Fluvial de Porto Alegre;CFALEG;RS;Carga Geral;10
"5º ";Capitania Fluvial de Porto Alegre;CFALEG;RS;Chata;83
"5º ";Capitania Fluvial de Porto Alegre;CFALEG;RS;Dique Flutuante;1
"5º ";Capitania Fluvial de Porto Alegre;CFALEG;RS;Draga;288
"5º ";Capitania Fluvial de Porto Alegre;CFALEG;RS;Empurrador;14
